t=2026-02-15T17:43:34+0000 lvl=info msg="no configuration paths supplied"
t=2026-02-15T17:43:34+0000 lvl=info msg="using configuration at default config path" path=/home/noclout/.config/ngrok/ngrok.yml
t=2026-02-15T17:43:34+0000 lvl=info msg="open config file" path=/home/noclout/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T17:43:34+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T17:43:34+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T17:43:34+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T17:46:07+0000 lvl=info msg="join connections" obj=join id=5ac2d553ef8b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:08+0000 lvl=info msg="join connections" obj=join id=b91a0f6295a9 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:08+0000 lvl=info msg="join connections" obj=join id=c18fb09b446b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:08+0000 lvl=info msg="join connections" obj=join id=30aa4cd3aac6 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:08+0000 lvl=info msg="join connections" obj=join id=da6a16b36205 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:08+0000 lvl=info msg="join connections" obj=join id=45b6de2e696f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:08+0000 lvl=info msg="join connections" obj=join id=60928842efad l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:08+0000 lvl=info msg="join connections" obj=join id=8931e6780bff l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:16+0000 lvl=info msg="join connections" obj=join id=4856b2e0a6c9 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:16+0000 lvl=info msg="join connections" obj=join id=2f8ac6176172 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:54+0000 lvl=info msg="join connections" obj=join id=ed83a8ce9962 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:47:02+0000 lvl=info msg="join connections" obj=join id=f75590ccc2c6 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:48:06+0000 lvl=info msg="join connections" obj=join id=58975a5e6585 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:01+0000 lvl=info msg="join connections" obj=join id=dcbb053f2bae l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=672ee5740be5 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=272c09975d39 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=b8c42453a1fc l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=0d63c62e6395 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=98ea39d260ee l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=cb8710b10b57 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=250c68a86a34 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=04bb846fa6c6 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=7a01c1a3f637 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=ab2ac76b5679 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=68c11618d535 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=0007b6619819 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=cf2d1d1a1802 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=1ac08b80625e l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=d72f4a330eb5 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=90d5aac9733e l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=899dddb53a77 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=d40125d20168 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=c39de8749c6d l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=8b1452ce3472 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=cf8cc88d56a9 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=96956b324cc4 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=47d291790ad3 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:02+0000 lvl=info msg="join connections" obj=join id=87c7cf77219b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:03+0000 lvl=info msg="join connections" obj=join id=feea6db7aa8d l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52920
t=2026-02-15T17:52:03+0000 lvl=info msg="join connections" obj=join id=bdd78ed29f62 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:03+0000 lvl=info msg="join connections" obj=join id=6875d0206c6a l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:03+0000 lvl=info msg="join connections" obj=join id=ae8806aa23cf l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:03+0000 lvl=info msg="join connections" obj=join id=3f5fccbab916 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:03+0000 lvl=info msg="join connections" obj=join id=203cdb581ed4 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:52:03+0000 lvl=info msg="join connections" obj=join id=05baccc4c53f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:55:55+0000 lvl=info msg="join connections" obj=join id=1aeef24d07eb l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:55:57+0000 lvl=info msg="join connections" obj=join id=101952f9f177 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=cd187a7a8ae0 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=c727da6ebdc6 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
t=2026-02-15T17:55:58+0000 lvl=info msg="join connections" obj=join id=aab78241c874 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52922
